iter	Passed	Remaining
0	1	1102
1	1	975
2	2	924
3	3	862
4	4	818
5	4	817
6	5	799
7	6	850
8	8	922
9	9	915
10	10	918
11	11	911
12	12	914
13	13	924
14	13	908
15	14	896
16	15	893
17	16	883
18	17	899
19	18	906
20	19	903
21	20	913
22	21	923
23	22	920
24	23	922
25	24	921
26	25	920
27	26	911
28	26	903
29	29	946
30	30	943
31	30	934
32	31	930
33	32	928
34	33	923
35	34	920
36	35	914
37	36	911
38	36	907
39	38	915
40	38	908
41	39	900
42	40	899
43	41	896
44	43	919
45	44	920
46	45	913
47	45	911
48	47	913
49	47	909
50	48	905
51	49	901
52	50	904
53	51	898
54	51	891
55	52	892
56	53	889
57	54	890
58	56	895
59	57	895
60	58	894
61	59	906
62	60	905
63	61	904
64	62	902
65	63	898
66	64	894
67	64	890
68	65	887
69	66	884
70	67	878
71	67	874
72	68	871
73	69	875
74	70	872
75	71	867
76	72	865
77	73	864
78	74	863
79	74	857
80	75	854
81	76	852
82	76	850
83	77	848
84	78	849
85	79	847
86	81	857
87	82	855
88	83	853
89	84	852
90	85	851
91	86	849
92	86	848
93	88	850
94	88	847
95	90	850
96	91	853
97	92	850
98	93	849
99	94	848
100	95	848
101	96	847
102	97	850
103	98	848
104	99	847
105	100	846
106	101	847
107	102	848
108	104	854
109	105	852
110	106	850
111	107	849
112	107	846
113	108	845
114	109	844
115	110	842
116	111	840
117	112	839
118	113	843
119	114	843
120	116	847
121	117	846
122	118	844
123	119	843
124	120	840
125	120	839
126	121	836
127	122	834
128	123	831
129	123	829
130	124	827
131	125	826
132	126	825
133	127	827
134	128	826
135	130	827
136	131	829
137	132	827
138	133	825
139	134	823
140	134	822
141	135	820
142	136	818
143	138	824
144	140	826
145	141	824
146	143	831
147	144	831
148	145	829
149	146	830
150	147	830
151	148	829
152	149	828
153	150	826
154	151	825
155	152	823
156	152	820
157	153	819
158	154	818
159	156	821
160	157	819
161	158	819
162	159	818
163	160	816
164	160	814
165	161	813
166	162	811
167	163	809
168	164	807
169	165	806
170	166	805
171	166	803
172	167	801
173	168	801
174	170	803
175	171	800
176	171	799
177	172	798
178	173	796
179	174	797
180	176	796
181	176	795
182	177	793
183	178	792
184	179	790
185	180	789
186	181	791
187	183	791
188	184	790
189	185	789
190	185	787
191	186	785
192	187	783
193	188	781
194	189	780
195	190	780
196	191	779
197	192	778
198	193	779
199	194	778
200	196	779
201	196	777
202	197	776
203	198	774
204	199	773
205	200	774
206	201	773
207	202	772
208	203	771
209	206	777
210	207	775
211	208	775
212	210	776
213	210	774
214	211	772
215	212	770
216	213	769
217	214	767
218	214	766
219	215	764
220	216	762
221	217	761
222	218	760
223	219	759
224	219	757
225	220	756
226	221	754
227	222	752
228	223	751
229	224	750
230	224	748
231	225	746
232	226	745
233	227	743
234	227	741
235	228	740
236	229	739
237	230	739
238	231	738
239	232	737
240	234	737
241	235	736
242	237	738
243	238	738
244	239	738
245	240	737
246	241	736
247	242	734
248	243	733
249	244	732
250	245	732
251	246	730
252	247	729
253	247	728
254	248	726
255	249	725
256	250	723
257	251	722
258	251	720
259	252	718
260	252	716
261	253	714
262	254	713
263	255	713
264	257	712
265	258	712
266	259	711
267	260	710
268	261	709
269	261	708
270	262	706
271	263	705
272	264	703
273	264	701
274	265	700
275	266	700
276	268	700
277	269	700
278	270	698
279	271	698
280	272	696
281	273	695
282	274	695
283	275	694
284	277	694
285	278	694
286	279	693
287	280	694
288	282	695
289	283	694
290	284	693
291	285	692
292	286	691
293	287	690
294	288	689
295	289	689
296	290	688
297	291	687
298	293	687
299	295	688
300	296	687
301	296	686
302	297	684
303	298	683
304	299	681
305	299	680
306	300	679
307	301	677
308	302	676
309	303	675
310	304	675
311	305	674
312	306	673
313	307	672
314	308	670
315	309	669
316	310	668
317	310	666
318	311	665
319	312	663
320	313	662
321	314	661
322	315	660
323	316	659
324	317	659
325	318	659
326	319	657
327	320	656
328	321	655
329	322	653
330	322	652
331	323	651
332	324	650
333	325	648
334	326	647
335	327	647
336	330	649
337	331	648
338	331	647
339	332	646
340	333	644
341	334	643
342	335	642
343	336	641
344	337	641
345	338	639
346	339	638
347	340	637
348	341	636
349	342	635
350	343	634
351	343	633
352	344	631
353	345	630
354	346	629
355	347	628
356	348	626
357	348	625
358	349	624
359	350	622
360	351	621
361	352	620
362	352	619
363	353	618
364	354	616
365	355	615
366	356	614
367	357	613
368	358	613
369	359	612
370	360	611
371	361	609
372	362	608
373	363	607
374	363	606
375	364	605
376	365	603
377	366	602
378	366	601
379	368	601
380	370	601
381	370	600
382	371	598
383	372	597
384	373	596
385	374	594
386	374	593
387	375	592
388	376	591
389	377	590
390	378	588
391	378	587
392	380	587
393	380	585
394	382	585
395	383	584
396	384	583
397	384	582
398	385	581
399	386	579
400	387	578
401	388	577
402	388	575
403	389	574
404	390	573
405	391	572
406	392	572
407	393	571
408	394	570
409	395	569
410	396	568
411	397	567
412	398	566
413	399	565
414	399	563
415	400	562
416	401	561
417	402	560
418	404	560
419	405	559
420	405	558
421	406	556
422	407	555
423	408	554
424	409	553
425	411	553
426	412	552
427	412	551
428	414	551
429	415	550
430	415	548
431	416	547
432	417	546
433	418	546
434	419	545
435	420	544
436	421	543
437	422	542
438	423	541
439	427	543
440	429	544
441	430	543
442	431	542
443	432	541
444	432	539
445	434	539
446	435	538
447	436	537
448	437	537
449	439	536
450	439	535
451	440	534
452	441	533
453	442	532
454	443	531
455	444	530
456	445	528
457	446	527
458	447	526
459	448	526
460	449	525
461	453	528
462	454	527
463	455	526
464	456	525
465	457	523
466	458	522
467	458	521
468	459	520
469	460	519
470	461	518
471	462	517
472	464	517
473	465	516
474	466	515
475	467	514
476	468	513
477	469	512
478	470	511
479	470	510
480	471	509
481	472	508
482	473	507
483	475	506
484	476	505
485	477	504
486	478	503
487	479	502
488	480	501
489	480	500
490	482	499
491	482	498
492	483	497
493	484	496
494	485	494
495	485	493
496	487	493
497	488	492
498	489	491
499	490	490
500	491	489
501	492	488
502	494	488
503	494	487
504	496	486
505	497	485
506	499	485
507	500	484
508	501	483
509	502	482
510	503	481
511	504	480
512	504	479
513	506	478
514	506	477
515	507	476
516	509	475
517	510	474
518	511	473
519	512	472
520	513	471
521	513	470
522	515	469
523	515	468
524	516	467
525	517	466
526	518	465
527	520	464
528	521	464
529	522	463
530	523	462
531	524	461
532	525	460
533	526	459
534	527	458
535	529	457
536	530	457
537	532	456
538	533	456
539	535	456
540	536	455
541	537	454
542	539	453
543	539	452
544	540	451
545	541	450
546	542	449
547	553	456
548	554	455
549	555	454
550	556	453
551	557	452
552	558	451
553	560	451
554	561	449
555	561	448
556	562	447
557	563	446
558	564	445
559	566	444
560	567	443
561	568	442
562	569	442
563	571	441
564	572	440
565	572	439
566	573	438
567	574	437
568	575	435
569	576	434
570	577	433
571	578	432
572	579	431
573	581	431
574	582	430
575	582	429
576	583	427
577	584	426
578	586	426
579	587	425
580	588	424
